object-id,title,catalog-number,source,description,site-location,site-date,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,manufacture-origin,manufacture-range,publisher,rights,standardized-rights,preferred-image-citation,identifier,metadata-creator,format,type,cdm-number
hjccc-9,Etsuke Chawan (hand-painted bowl),45SN398B/2007/1447,"Burke Museum of Natural History and Culture, US Air Force Collection",The size and shape of this vessel sherd suggest some type of chawan.  Decoration consists of cobalt leaves and green berries.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 11 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),"Cobalt blue, green",Indeterminate (leaves and berries),None,None,None,None,Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1447, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1447,Renae Campbell,image/jpg,Image;StillImage,9
hjccc-54,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B/2007/1450.1,"Burke Museum of Natural History and Culture, US Air Force Collection",Sherd has V-shaped walls; the size and shape indicate a gohan chawan.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm, height= 5.5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1450.1, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1450.1,Renae Campbell,image/jpg,Image;StillImage,54
hjccc-12,Sometsuke Take Chawan (bowl with cobalt hand-painted bamboo),45SN398B/2007/1466B,"Burke Museum of Natural History and Culture, US Air Force Collection","Based on its size and shape, this vessel sherd is likely from a large teacup or a small bowl.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),"Rim~ 10 cm, footring~ 4 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Take (bamboo),None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1466B, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1466B,Renae Campbell,image/jpg,Image;StillImage,12
hjccc-160,Suribachi (grinding bowl) [1],45SN398B/2007/1501,"Burke Museum of Natural History and Culture, US Air Force Collection",Suribachi bowl body fragment with parallel incised lines on the interior that were likely created by combing (kushime) the paste.  Suribachi's texturized interior are used to grind ingredients like sesame seeds.  They often are made of a buff paste that is covered by an opaque reddish-brown to brown glaze (Ross 2012:13; Crueger et al. 2006:295).,"Near Mukilteo, Washington",1903-1928,Food Preparation,Toki (porous stoneware),Suribachi (grinding bowl),n/a,n/a,Other,Iroyu (colored glaze),Reddish-brown,None,Other,Reddish-brown,None,None,Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1501, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1501,Renae Campbell,image/jpg,Image;StillImage,160
hjccc-63,Sansui Dobin (landscape teapot) Compound Object,45SN398B/2007/1605,"Burke Museum of Natural History and Culture, US Air Force Collection","Sansui Dobin rim sherd.  The exterior is dipped in white slip (kohiki), hand-painted with splotches of copper-green glaze and an iron-brown linear landscape, then sealed under a colorless glaze; the vessel interior is left unglazed and undecorated.  These teapots were widely distributed on the domestic market and became an iconic favorite of Mingei co-founder Yanagi Soetsu in the 1920s and 1930s (Brandt 1996; Cort 2000:230).  Minagawa Masu (1875-1960), who worked throughout Mashiko, is known for painting the brown and green linear landscapes characteristic of this style (Crueger et al. 2006:220).  Examples of her work are captured in a 1934 film by Bernard Leach and look strikingly similar to the example in this collection (Gross 1984).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Toki (porous stoneware),Dobin (teapot),Rim~ 11 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),"Yellow, brown, green, white",Yama (mountain),None,None,None,None,"Likely either Koyama in the Shigaraki region or Mashiko in the northern Kanto region, Japan",Most popular in the Taisho (1912-1926) and early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1605, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1605,Renae Campbell,image/jpg,Image;StillImage,63
hjccc-15,Doban Ume Soba-Choko (noodle cup with transferprint plum),45SN398B/2007/1692,"Burke Museum of Natural History and Culture, US Air Force Collection",These sherds are most likely from a soba choko based on the vessel size and shape.  Soba choko are intended to hold sauce that cold soba noodles are dipped into (Costello et al. 2001:36).  The popularity of green transferprint peaked in the 1920s or 1930s.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Soba Choko (cold noodle cup),Base= 6.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),"Green, pink",Ume (plum) tree,None,None,None,None,Japan,The dominantly green transferprint may indicate manufacture during or shortly after the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1692, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1692,Renae Campbell,image/jpg,Image;StillImage,15
hjccc-140,Doban Sen (transferprint coin) Vessel,45SN398B/2007/1844,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel base and footring fragment is decorated with a green transferprint design under a grainy glaze. The decoration features two overlapping coins. The top coin appears to be a variation of the Japanese Kan'ei Tsuhou, which was manufactured throughout the Tokugawa period (1603-1868) (Hartill 2011:38). Japanese potters did not develope green underglaze pigments for porcelain until the 1870s and 1880s; however, so that by the time this artifact was manufactured, the Kan'ei Tsuhou was no longer being produced (Ross 2009:156).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Unknown,Footring= 4 cm,Shita-Etsuke (underglaze),Other,Doban or Doban Tensha (transferprinted),Green,Sen (coin),None,None,None,None,Japan,Most popular in the late Taisho (1912-1926) and early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1844, US Air Force Collection, held in trust at the Burke Museum, Seattle. See citation guidelines.",45SN398B-2007-1844,Renae Campbell,image/jpg,Image;StillImage,140
hjccc-57,Doban Sakazuki (transferprint sake cup),45SN398B/2007/1908,"Burke Museum of Natural History and Culture, US Air Force Collection","Nearly half of a green and brown transferprint sakazuki (sake cup) with an everted rim. The exterior has a landscape scene with deciduous trees, mountains, and possible houses.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Sakazuki (indeterminate sake cup),"Rim~ 7 cm, footring= 3 cm, height= 4.5 cm",Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),"Green, brown","Horizontal band around footring, landscape",None,None,None,None,Japan,Most popular in the late Taisho (1912-1926) and early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1908, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1908,Renae Campbell,image/jpg,Image;StillImage,57
hjccc-16,Sometsuke Fuku Chawan (bowl with cobalt hand-painted 'luck'),45SN398B/2007/2059B,"Burke Museum of Natural History and Culture, US Air Force Collection","Vessel body and rim fragment.  The rim diameter suggests this vessel is a type of chawan. Decoration consists of a partial character, 福 (fuku or luck), in circular medallion on the vessel exterior.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Rim~ 12 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate, written characters",Etsuke (hand painted),Cobalt blue,Horizontal band around rim,"Mark on vessel side-wall is part of the character for fuku (福), which means luck.",Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/2059B, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-2059B,Renae Campbell,image/jpg,Image;StillImage,16
hjccc-8,Sometsuke Take Zara (dish with cobalt hand-painted bamboo),45SN398B/2007/222,"Burke Museum of Natural History and Culture, US Air Force Collection","Mending sherds of a sara of indeterminate size.  Vessel has hand-painted bamboo elements on the interior along with a central element or medallion that is too fragmentary to identify, and two blue bands on the exterior base.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Sara (indeterminate dish/plate),Footring~ 8 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,Etsuke (hand painted),Cobalt blue,Take (bamboo),None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/222, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-222,Renae Campbell,image/jpg,Image;StillImage,8
